county,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alamance,59.33,63.85,59.25,58.42,57.51,58.07,61.16,63.78,66.22,70.71,69.46,68.51,71.88,72.85,73.3,73.51,71.86,71.77,70.17
Alexander,29.76,36.51,22.82,21.82,24.74,29.54,32.51,34.1,32.47,31.89,30.06,30.64,29.15,32.05,35.95,33.73,35.26,34.85,35.22
Alleghany,73.99,82.76,74.54,73.78,69.65,51.31,49.09,46.9,46.95,44.54,42.97,37.04,41.02,37.1,46.85,47.36,42.85,43.62,43.5
Anson,53.41,54.1,49.42,47.91,50.82,50.68,51.24,54.87,55.98,53.59,51.9,50.34,44.32,46.36,49.12,43.97,41.75,38.63,35.9
Ashe,60.29,68.15,54.06,49.72,47.79,47.07,48.1,48.46,51.28,49.82,48.21,47.04,47.88,47.39,60.11,61.1,61.44,59.89,59.06
Avery,91.45,88.67,91.35,78.98,72.99,78.04,72.63,73.26,71.08,71.58,58.95,61.12,74.31,73.86,48.62,46.03,70.73,75.25,67.45
Beaufort,91.42,99.69,81.86,81.89,84.25,86.38,88.9,88.56,89.06,84.18,87.84,87.14,85.38,82.68,89.91,85.3,85.28,88.12,83.68
Bertie,50.57,52.88,51.13,53.95,51.14,48.22,53.74,55.08,52.81,56.71,49.73,48.83,52.26,53.41,58.2,65.26,66,57.84,53.45
Bladen,54.22,49.98,47.84,47.26,47.71,44.57,47.76,50.77,49.71,53.05,44.83,46.94,47.16,46.86,51.26,53.7,54.81,53.21,53.93
Brunswick,43.61,50.07,52.14,49.29,48.81,48.68,46.65,47.67,48.7,49.75,46.31,48.48,48.14,47.53,49.05,48,50.57,50.86,51.97
Buncombe,152.38,156.09,159.45,158.15,160.53,164.79,166.5,169.67,173.71,175.35,174.22,176.62,179.44,179.73,175.82,175.84,178.21,179.21,178.56
Burke,99.27,106.71,99.35,97.34,101.95,104.29,106.13,108.21,108.99,112.3,106.69,106.81,110.69,114.39,113.23,115.02,113.68,113.25,114.57
Cabarrus,94.69,100.21,98.06,97.07,96.63,100.57,101.22,102.75,103.67,105.4,103.45,102.89,102.58,102.65,103.84,101.22,99.82,98.41,96.36
Caldwell,52.96,50.5,48.7,48.57,47.96,46.69,49.18,50.65,52.23,52.78,50.86,52.22,51.93,50.91,53.25,54.25,56.16,56.9,57.67
Camden,31.95,36.75,29.29,34.41,22.92,19.14,17.21,19.96,21.75,25.89,18,18.14,17.13,15.73,17.56,19.56,29.16,27.99,15.36
Carteret,71.4,75.5,71.98,72.14,71.01,71.91,73.63,78.52,77.44,79.57,77.65,80.65,79.72,81.75,84.07,83.21,79.71,82.49,87.09
Caswell,32.34,33.31,28.32,22.21,20.45,24.31,21.24,18.29,22.69,24.72,19.85,19.87,22.14,16.78,22.46,22.45,21.53,21.94,22.37
Catawba,103.4,103.72,105.68,106.64,110.75,112.57,112.16,112.97,118.09,119.53,125.12,127.36,128.11,131.39,127.45,128.67,128.2,129.47,124.19
Chatham,43.18,50.83,42.72,39.83,41.36,40.52,42.28,39.89,40.07,43.05,32.57,35.16,35.31,35.2,36.81,33.98,33.16,29.8,33.12
Cherokee,86.43,85.82,90.1,86.41,76.28,74.44,79.69,79.55,80.76,78.74,80.28,83.15,86.57,84.09,77.96,74.18,73.1,72.56,63.98
Chowan,82.61,86.94,89.71,87.7,96.87,101.27,98.11,103.68,103.49,103.25,110.43,110.16,108.53,109.35,101.8,96.28,94.38,102.85,98.05
Clay,79.77,65.4,55.8,57.27,45.27,41.79,40.53,39.71,47.53,47.25,48.01,46.85,46.58,50.03,56.51,48.02,41.52,49.62,51.48
Cleveland,78.41,81.29,80.37,79.97,81.42,86.29,86.95,90.79,95.96,95.7,97.91,102.84,106.75,107.77,107.33,107.28,108.2,107.12,100.75
Columbus,89.86,83.15,85.74,82.02,81.58,81.25,81.77,83.36,83.09,77.8,73.36,74.41,75.01,77.42,83.11,76.22,74.32,76.39,76.97
Craven,92.96,96.77,95.35,94.17,97.16,102.44,101.19,102.07,103.61,101.72,97.83,99.37,96.88,98.54,98.26,98.56,99.19,99.58,104.82
Cumberland,75.09,73.33,70.75,70.93,70.01,70.99,74.44,75.98,79.07,82.77,86.91,88.36,88.89,90.45,87.67,90.31,92.96,93.57,93.49
Currituck,35.73,30.75,32.65,24.33,22.79,28.74,25.45,24.86,28.95,22.55,21.65,21.99,26.51,21.22,23.93,23.02,24.9,27.06,23.61
Dare,58.73,58.36,63.5,68.74,67.24,64.02,63.35,67.69,68.61,66.27,61.97,66.05,65.5,66.06,65.51,63.33,64.03,63.87,63.49
Davidson,49.31,49.23,47.05,46.23,44.45,44.9,46.03,47.19,49.21,47.94,45.57,46.4,46.57,47.14,50.23,50.24,48.39,46.62,46.93
Davie,39.33,41.95,32.26,31.44,31.42,28.98,32.63,37.09,34.16,31.85,29.24,35.37,34.05,32.52,41.47,47.19,47.38,48.92,46.94
Duplin,47.49,54.44,53.05,49.99,49.4,50.06,52.17,51.38,52.58,53.1,49.72,48.76,48.29,47.09,50.73,51.28,49.16,51.42,52.82
Durham,201.55,200.49,202.61,204.36,203.37,208.84,211.08,211.12,213.92,217.1,228.39,235.68,233.94,239.5,230.64,231.14,233.42,238.39,244.14
Edgecombe,50.35,53.55,51.07,51.7,50.77,57.14,59.27,60.99,65.04,67.98,61.75,60.26,57.41,57.81,60.92,57.02,61.49,65.84,67.31
Forsyth,147.81,149.68,150.03,156.39,160.94,166.33,168.33,167.62,170.31,173.49,183.26,185.05,187.66,192.39,181.63,182.08,181.56,182.96,187.64
Franklin,41.47,43.23,41.24,36.61,37.27,37.28,41.22,37.91,36.26,35.47,31.16,30.01,30.4,34.13,35.9,34.73,33.31,28.26,26.63
Gaston,69.03,69.17,68.59,69.81,71.37,75.68,74.02,74.49,74.58,77,78.25,78.21,77.95,80.12,82.19,82.86,83.9,84.34,84.08
Gates,21.87,27.64,16.97,20.51,22.05,20.77,19.03,22.84,21.58,21.51,18.01,15.91,16.91,16.84,20.99,18.74,16.82,18.39,17.49
Graham,46.29,47.3,40.7,39.12,38.1,38.25,44.41,39.29,42.04,38.43,36,32.43,37.29,38.4,31.71,33.1,29.43,33.95,32.72
Granville,98.35,98.25,97.95,96.11,97.1,94.11,96.4,94.67,96.17,99.41,105.12,114.03,127.76,130.55,129.94,133.4,132.75,130.72,117.39
Greene,35.84,33.67,32.92,33.2,31.59,35.03,34.55,42.16,43.85,42.08,42.09,38.16,41.66,41.76,38.05,43.48,52.29,50.65,44.14
Guilford,107.26,105.2,106.75,105.85,108.39,111.47,113.01,113.66,113.31,114.89,116.83,118.69,117.49,119.27,115.78,113.32,116.95,118.77,115.07
Halifax,74.95,72.13,75.14,72.73,73.58,68.86,71.04,75.16,76.24,78.29,80.73,79.6,80.2,82.3,79.15,76.87,78.22,80.09,79.66
Harnett,39.77,39.5,34.58,35.79,36.3,35.09,34.23,34.36,35.38,35.44,34.09,34.06,32.74,33.9,45.89,43.03,36.65,35.46,33.07
Haywood,67,69.97,68.25,70.14,71.79,71.98,73.94,75.75,76.16,74.43,71.35,73.39,75.73,74.74,71.94,75.7,72.04,71.13,73.11
Henderson,89.71,98.97,93.97,96.1,96.5,94.37,93.8,96.53,95.61,95.78,92,95.71,94.56,94.25,94.05,95.28,94.77,94.94,96.69
Hertford,103.09,109.55,113.33,114.85,111.79,112.82,115.06,114.62,116.89,126.46,123.83,130.79,134.96,130.78,124.91,124.87,124.39,127.36,120.73
Hoke,30.61,25.83,21.86,24.84,26.44,26.88,27.02,27.95,24.53,23.19,24.1,23.23,24.38,21.31,24.52,29.16,34.09,36.56,38.41
Hyde,54.93,52.28,46.68,36.02,37.98,42.8,45.36,51.4,54.43,48.26,46.45,48.15,48.76,55.12,52.28,55.05,49.81,46.07,47.96
Iredell,98.97,105,104.15,107.37,108,109.17,109.96,107.1,104.76,103.73,97.43,94.35,95.13,92.86,91.95,88.29,90.78,88.13,85.68
Jackson,87.26,95.36,87.73,90.41,84.49,86.63,90.33,89.91,95.95,96.06,90.42,90.87,88.51,82.33,79.19,81.26,82.21,82.34,74.44
Johnston,35.5,39.21,34.32,35.82,36.88,37.95,39.98,39.8,39.63,40.06,40.73,40.85,41.24,42.19,46.38,46.77,47.08,48.38,48.68
Jones,33.72,45.61,38.52,26.76,33.15,40.13,47.49,47.5,51.49,52.2,55.12,45.51,43.33,38.85,33.44,39.34,43.46,45.38,38.62
Lee,79.32,73.29,67.94,65.71,67.05,72.49,64.58,64.21,62.6,64.53,66.31,66.72,63.44,65.21,67.57,67.22,72.07,69.43,67.24
Lenoir,95.73,92.89,92.56,91.91,93.25,97.81,102.11,105.83,105.85,111.65,109.59,109.25,101.51,105,95.02,98.22,104.54,101.61,99.36
Lincoln,46.41,44.8,37.88,38.57,39.49,42.52,45.02,44.52,46.28,47.94,43.34,48.09,51.35,50.91,56.73,54.67,57.66,58.62,59.53
Macon,76.82,79.24,74.09,72.94,66,63.24,60.46,90.75,57.85,60.61,63.63,62.1,66.21,68.23,66.52,70.17,70.48,68.34,65.68
Madison,32.59,32.36,31.43,32.49,31.19,28.98,34.72,27.61,29.31,30.22,30.3,30.2,31.14,33.22,37.99,33.7,38.67,37.77,41.77
Martin,49.23,50.51,48.04,49.9,48.54,53.78,54.93,32.91,67.02,66.22,62.86,58.96,64.95,66.53,64.1,58.96,58.04,57,57.24
McDowell,56.23,60.47,58.62,58.64,58.19,60.58,60.27,74.64,57.21,54.53,55.74,57.85,57.41,60.58,62.22,63.48,62.18,64.31,61.85
Mecklenburg,119.55,117.36,116.37,115.85,116.27,116.81,109.94,108.67,112.45,115.52,115.81,116.12,116.29,115.87,110.3,109.01,109.3,109.95,110.56
Mitchell,80.32,84.43,84.01,84.23,90.33,91.3,95.63,98.43,104.15,111.43,128.3,129.67,129.25,125.92,135.23,134.33,122.49,120.1,121.58
Montgomery,43.25,44.51,38.39,37.5,35.77,35.19,37.81,36.97,40.86,37.87,35.26,32.3,32.6,34.21,32.35,32.34,38.89,37.32,39.7
Moore,126.92,130.31,129.2,128.14,128.41,131.19,133.31,132.49,136,139.38,141.77,147.55,150.26,153.8,146.54,145.2,144.74,147.34,149.83
Nash,89.22,93.38,94.64,97.08,97.96,99.09,101.17,105.37,105.43,106.66,108.51,111,109.07,110.19,114.47,110.95,108.98,105.23,100.61
New Hanover,129.5,129.73,137.64,140.36,144.11,144.18,143.71,139.69,136.99,137.61,138.52,138.51,141.26,144.76,140.77,141.12,145.16,150.58,155.47
Northampton,36.67,34.07,33.47,28.82,28.41,30.22,31.6,30.14,33.6,31.43,26.69,29.76,27.89,29.66,37.68,35.59,35.12,32.84,37.13
Onslow,51.61,54.49,49.88,50.59,46.62,46.8,48.44,46.54,47.72,50.82,53.17,52.44,55.7,54.4,50.83,49.07,50.64,51.32,51.25
Orange,186,192.64,191.78,191.51,205.69,213.35,217.6,213.83,222.86,234.76,248.43,249.53,255.39,261.93,250.19,251.88,258.85,266.22,277.47
Pamlico,37.11,40.47,33.09,38.8,35.19,34.29,34.36,33.98,42.65,40.49,34.22,38.6,38.67,39.02,38.82,37.95,36.74,36.93,39.89
Pasquotank,123.51,119.61,125.02,128.93,127.04,118.05,112.09,109.34,102.72,101.89,112.14,108.56,109.66,119.87,107.08,104.96,102.27,98.28,103.91
Pender,40.41,43.28,38.11,36.14,37.26,33.16,33.25,34.5,36.66,35.4,34.66,35.74,37.51,38.69,40.86,39.52,37.34,33.93,35.33
Perquimans,26.39,40.71,35.31,31.68,28.8,21.78,17.65,21.22,30.95,32.43,17.8,22.16,21.23,12.34,20.53,22.71,19.17,17.72,20.64
Person,47.16,53.69,45.83,48.94,49.74,43.11,44.07,44.63,50.12,50.95,47.75,46.6,45.41,45.93,50.17,48.52,49.08,46.4,43
Pitt,172.8,175.48,178.93,179.11,179.83,184.13,193.45,190.17,196.07,206.15,199.49,204.8,207.57,216.36,215.28,211.98,211.67,214.43,211.34
Polk,85.13,89.75,86.52,81.88,82.32,79.29,80.16,81.41,70.05,68.23,65.57,64.05,68.11,72.32,72.81,70.58,71.33,68.07,68.63
Randolph,39.4,42.76,36.87,36.29,35.74,36.56,38.97,40.45,42.27,41.9,40.81,41.85,44.81,45.03,50.74,51,45.93,42.99,41.75
Richmond,80.96,78.59,80.49,79.61,74.04,72.13,74.52,82.49,78.76,77.89,75.27,75.77,72.2,74.06,77.51,78.72,77.04,77.07,68.29
Robeson,53.11,53.33,55.69,56.97,59.33,60.86,62.76,65.29,66.06,71.01,70.71,68.99,69.77,70.67,67.91,68.23,68.67,68.85,67.51
Rockingham,61.68,61,58.45,57.54,57.59,50.85,51.83,51.18,49.62,48.65,42.98,43.18,43.07,44.12,51,49.09,45.27,41.51,40.88
Rowan,74.42,75.61,73.25,71.04,72.22,75.54,77.82,77.81,77.23,79.35,80.2,84.74,86.51,83.22,87.23,91.63,93.85,93.29,93.24
Rutherford,63.12,65.93,65.51,65.88,66.86,65.46,70.28,68.65,70.8,69.55,64.85,66.82,69.19,70.49,78.84,73.5,67.06,67.41,62.76
Sampson,57.18,60.89,53.64,53.45,52.83,52.23,52.46,52.54,52.29,51.97,50.72,52.08,51.75,52.56,55.59,55.16,51.65,54.48,49.82
Scotland,75.84,78.92,86.41,86.9,87.98,90.12,84.61,87.97,88.75,90.97,91.97,92.7,91.02,91.93,89.86,84.03,84.1,84.35,83.43
Stanly,60.41,64.64,60.25,64.95,66.85,65.84,63.76,69.47,68.48,68.06,69.34,71.06,72.59,77.87,81.73,78.06,77.41,75.91,69.13
Stokes,31.98,40.86,28.9,28.65,29.77,26.6,27.19,28.1,33.87,30.77,28.86,30.91,32.08,34.67,40.82,44.27,39.36,40.23,39.82
Surry,77.79,86.7,78.99,75.98,75.54,72.55,80.68,84.21,84.89,86.48,85.78,87.8,87.9,90.12,89.66,88.8,90.61,91.98,89.09
Swain,75.57,75.76,71.83,70.22,69.99,76.47,79.63,87.12,90.12,96,88.45,89.04,88.31,95.96,99.79,102.99,103.69,110.01,115.57
Transylvania,75.34,83.48,78.79,76.54,71.48,69.35,74.13,75.75,75.17,77.18,71.71,72.13,73.59,72.55,72.69,71.71,71.18,71.09,69.23
Tyrrell,43.38,28.93,33.46,30.81,25.91,33.49,30.6,30.3,25.69,25.9,15.9,23.03,26.35,21.72,26.55,21.34,19.34,21.75,31.42
Union,42.45,47.09,43.44,43.78,44.62,45.25,43.12,43.49,45.1,44.71,42.35,44.82,46.42,47.27,53.95,51.23,49.97,49.79,50.08
Vance,58.67,59.03,57.83,59.57,55.41,55.6,61.47,65.62,63.91,69.46,66.19,64.75,69.62,70.36,71.43,69.41,66.97,64.2,64.75
Wake,99.79,99.47,98.96,97.71,97.22,99.59,100.12,100.35,102.13,103.49,104.34,105.04,105.6,107.43,106.91,104.96,105.42,107.22,107.95
Warren,30.54,32.54,24.19,24.83,23.66,19.85,17.53,19.58,21.59,23.08,23.31,20.59,20.8,20.05,19.99,20.51,18.39,19.37,19.43
Washington,48.09,41.91,39.07,45.09,49.87,52.87,50.88,44.65,47.06,47.68,53.69,55.9,48.36,49.12,52.84,50.04,46.68,42.92,49.71
Watauga,86.43,86.67,86.42,81.82,86.17,88,89.62,86.58,82.52,85.71,79.69,83.28,80.35,84.28,91.45,89.14,81.47,83.67,79.86
Wayne,84,84.74,81.9,82.66,85.3,83.91,86.06,88.18,88.92,90.59,90.24,91.26,91.58,94.8,93.01,94.09,94.14,92.6,94.73
Wilkes,60.95,61.57,64,64.46,61.33,60.88,61.71,63.86,66.26,66.49,64.82,65.09,62.93,61.65,65.54,66.61,67.4,64.51,62.64
Wilson,77.76,77.7,75.01,76.58,81.11,80.61,82.22,85.93,83.49,81.6,82.19,85.65,87.41,85.51,88.44,87.28,83.05,82.04,72.81
Yadkin,39.34,42.37,33,29.23,29.85,34.05,30.94,31.97,31.96,32.63,30.69,27.57,24.84,24.39,39.11,40.58,36.05,33.17,33.16
Yancey,42.2,38.87,34.59,35.83,39.71,39.08,44.1,37.74,37.64,40.96,38.2,34.87,39.16,36.83,46.91,49.56,51.26,48.9,46.57
